ItemNumber,DescLine1,DescLine2,PackSize,Brand,UPC,VIN,Symbol,Price,PerUnit,ComparativePrice,ComparativeUnits,VenderID
3041111,LOCAL MED EGGS,GRADE A,1 / 2.5 OZ,HAWAIIAN M,859356003087,"","",$8.06,UNIT,3.224,PER OZ,3709
3041164,TAMAGO ATSUYAKI,EGG OMELET,1 / 500.0 GM,TETSUJIN,654156851568,"","",$4.81,UNIT,0.00962,PER GM,2146
3041199,GOAT CHEESE,WILD BLUEBRY VANILLA,1 / 10.5 OZ,CHEVRAI,62482001784,"","",$6.4,UNIT,0.6095238095238096,PER OZ,2558
3069090,EGG WASH ,W/ SPRAYER,1 / 2.3 OZ,BAK-KLENE,"",623210,"",$6.54,UNIT,2.8434782608695652,PER OZ,2492
3115772,BEEF RIBEYE,LIP-ON B/I,1 / 20.0 LB,MARBLE RIC,3115772,"","",$6.47,PER LB,,,50684
3116719,BEEF RIBEYE ,LIP-ON 2X2,1 / 16.0 LB,MARBLE RIC,"","","",$7.32,PER LB,,,50684
3116731,BEEF STRIPLOIN,1X1,1 / 14.0 LB,MARBLE RIC,90028749488388,"","",$5.22,PER LB,,,50683
3201069,"TOASTS, PARIS","",1 / 2.75 OZ,ILE DE FRA,37982781603,"","",$1.88,UNIT,0.6836363636363636,PER OZ,2862
3292223,ROMA TOMATO,US,1 / 5.0 LB,PACKER,763478758506,75850,"",$8.57,UNIT,1.714,PER LB,8100
3292224,ROMA TOMATO,H-1,1 / 5.0 LB,PACKER,3292224,75851,"",$7.43,UNIT,1.486,PER LB,8100
3292516,BRUSSEL SPROUTS,"",1 / 5.0 LB,PACKER,3292516,70671,"",$27.72,UNIT,5.544,PER LB,8100
3295028,RED DELICIOUS,CELLO APPLE,1 / 3.0 LB,PACKER,33383000015,278,"",$3.77,UNIT,1.2566666666666666,PER LB,8100
3295371,RED GRAPES,SEEDLESS,1 / 1.5 LB,PACKER,891046001294,479,"",$4.13,UNIT,2.7533333333333334,PER LB,8100
234561,BEER BTRD FRIES,SIDEWINDERS,6 / 4.0 LB,BENT ARM A,10071179029182,"",B,$37.63,UNIT,1.5679166666666668,PER LB,90007
115165,CHICKEN WING,1ST & 2ND JOINT,8 / 5.0 LB,KOCH,115165,"",*,$134.8,UNIT,3.37,PER LB,26641
3102113,WHEAT TORTILLA,"12""",1 / 12.0 CT,ARTURO'S,3102113,"","",$5.53,UNIT,0.4608333333333334,PER CT,5020
