ItemNumber,DescLine1,DescLine2,PackSize,Brand,UPC,VIN,Symbol,Price,PerUnit,ComparativePrice,ComparativeUnits,VenderID
58010,GREEK YOGURT,FAT FREE PLAIN,6 / 32.0 OZ,ZOI,011384232031,"",B,$34.92,UNIT,0.181875,PER OZ,90205
3058010,GREEK YOGURT,FAT FREE PLAIN,1 / 32.0 OZ,ZOI,"","","",$7.66,UNIT,0.239375,PER OZ,90205
40109,CREAM CHEESE,LOAF,10 / 3.0 LB,PAULY,10030900007011,"",B,$67.86,UNIT,2.262,PER LB,22221
3040109,CREAM CHEESE,LOAF,1 / 3.0 LB,SCHREIBER,30900007014,"","",$7.36,UNIT,2.4533333333333336,PER LB,22221
115723,RIBEYE,LIP-ON 15 UP,4 / 15.0 UP,STERLING S,71226,"",B,$8.35,PER UP,,,50684
3115723,RIBEYE,LIP-ON 15 UP,1 / 15.0 UP,STERLING S,"","","",$9.18,PER UP,,,50684
115727,BEEF STRIPLOIN,CHOICE,5 / 11.0 UP,STERLING S,77927/77924,"",C,$6.41,PER UP,,,50683
116747,STRIPLOIN,SELECT,6 / 10.0 UP,BLKWELL/EX,57886/47846,"",C,$5.06,PER UP,,,50683
3115727,BEEF STRIPLOIN,CHOICE,1 / 11.0 UP,STERLING S,"","","",$7.05,PER UP,,,50683
3116747,STRIPLOIN,SELECT,1 / 10.0 UP,BLKWELL/EX,"","","",$5.57,PER UP,,,50683
115618,TRI TIP ,PLD SELECT MBG 185D,4 / 18.0 LB,EXCEL,115618,"",&,$3.28,PER LB,,,50683
115705,BEEF TENDERLOIN,SS PSMO CHOICE,12 / 5.0 UP,STERLING S,78924,"",C,$11.21,PER UP,,,50683
3115618,TRI TIP ,PLD SELECT MBG 185D,1 / 18.0 LB,EXCEL,3115618,"","",$3.61,PER LB,,,50683
3115705,BEEF TENDERLOIN,SS PSMO CHOICE,1 / 5.0 UP,STERLING S,"","","",$12.33,PER UP,,,50683
291503,JAPAN TURNIP,H-1,1 / 10.0 LB,PACKER,"",908,&,$20.23,UNIT,2.023,PER LB,8100
292333,ASPARAGUS,LARGE,11 / 1.0 LB,PACKER,"",310,&,$40.82,UNIT,3.710909090909091,PER LB,8100
295303,HONEYDEW,FRESH,5 / 1.0 EA,PACKER,"",5434,&,$25.44,UNIT,5.088,PER EA,8100
295312,CANTALOUPE,FRESH,9 / 1.0 EA,PACKER,295312,5254,&,$37.68,UNIT,4.1866666666666665,PER EA,8100
3292101,KABOCHA PUMPKIN,"",1 / 1.0 EA,PACKER,"",1974,"",$6.15,UNIT,,,8100
292201,ROMA TOMATO,"",1 / 25.0 LB,PACKER,"",1770,&,$33.08,UNIT,1.3232,PER LB,8100
292211,CHERRY TOMATO,"",12 / 1.0 PT,PACKER,"",1664,&,$46.74,UNIT,3.895,PER PT,8100
291715,RED LEAF LETTUCE,"",8 / 3.0 PK,PACKER,"",75131,&,$36.36,UNIT,1.515,PER PK,8100
292326,BROCCOLI CROWN,"",1 / 20.0 LB,PACKER,"",74419,&,$30.7,UNIT,1.535,PER LB,8100
3292021,ANAHEIM PEPPER,"",1 / 2.0 LB,PACKER,763478006218,72433,"",$6.97,UNIT,3.485,PER LB,8100
175275,HONEY MUSTARD DRESSING,"",4 / 1.0 GAL,HELLMAN'S,10048001255088,"",S,$54.74,UNIT,13.685,PER GAL,2299
211026,AU JUS,"",12 / 1.351 LB,MINOR'S,00074826901018,360411,R,$100.89,UNIT,6.223168023686158,PER LB,5613
3211026,AU JUS,"",1 / 1.351 LB,MINOR'S,74826901117,360411,"",$8.97,UNIT,6.639526276831977,PER LB,5613
115711,BRISKET,BNLS CHOICE 120,7 / 10.0 LB,STERLING S,72020,"",C,$2.93,PER LB,,,5068
115735,ROUND BEEF ,166B FROZEN,1 / 60.0 LB,PACKER,"","",C,$4.49,PER LB,,,2081
3115711,BRISKET,BNLS CHOICE 120,1 / 10.0 LB,STERLING S,"","","",$3.22,PER LB,,,5068
3115738,ROUND EYE SELECT,MBG 171C,1 / 6.0 LB,EXCEL,"","","",$3.3,PER LB,,,5068
115706,"TOP INSIDE ROUND 1""4",CHOICE,3 / 18.0 LB,STERLING S,76826,"",C,$3.11,PER LB,,,5068
115707,FLAP MEAT,CHOICE,4 / 17.0 LB,STERLING S,78720,"",A,$5.6,PER LB,,,5068
3115706,"TOP INSIDE ROUND 1""4",CHOICE,1 / 18.0 LB,STERLING S,"","","",$3.42,PER LB,,,5068
3115707,FLAP MEAT,CHOICE,1 / 17.0 LB,STERLING S,"","","",$6.16,PER LB,,,5068
115648,TOP SIRLOIN BUTT,BEEF SELECT,6 / 12.0 LB,BLKWELL/EX,115648,"",&,$3.59,PER LB,,,50683
3115648,TOP SIRLOIN BUTT,BEEF SELECT,1 / 12.0 LB,BLKWELL/EX,3115648,"","",$3.94,PER LB,,,50683
3114066,CUSHION PORK,BL NAT,1 / 1.5 LB,FARMER JOH,90050500008238,"","",$1.94,PER LB,,,20572
10242,CAN LINER,43X47 56G 1.2ML BLK LD,24 / 12.0 CT,ARTURO'S,73366224717,"",&,$38.27,UNIT,0.13288194444444446,PER CT,5020
10244,FLOUR TORTILLA,"10""",12 / 12.0 CT,ARTURO'S,73366224724,"",&,$37.19,UNIT,0.25826388888888885,PER CT,5020
10253,WHITE CORN TORTILLA,"4""",12 / 60.0 CT,ARTURO'S,73366224663,"",&,$40.84,UNIT,0.05672222222222223,PER CT,5020
3010242,CAN LINER,43X47 56G 1.2ML BLK LD,1 / 12.0 CT,ARTURO'S,073366224571,"","",$2.08,UNIT,0.17333333333333334,PER CT,5020
3010244,FLOUR TORTILLA,"10""",1 / 12.0 CT,ARTURO'S,073366224588,"","",$4.02,UNIT,0.33499999999999996,PER CT,5020
3010253,WHITE CORN TORTILLA,"4""",1 / 60.0 CT,ARTURO'S,073366224526,"","",$4.41,UNIT,0.0735,PER CT,5020
10246,FLOUR TORTILLA,"12""",12 / 12.0 CT,ARTURO'S,73366224731,"",&,$49.07,UNIT,0.34076388888888887,PER CT,5020
3010246,FLOUR TORTILLA,"12""",1 / 12.0 CT,ARTURO'S,073366224595,"","",$5.3,UNIT,0.44166666666666665,PER CT,5020
41075,ELGIN BUTTER,UNSALTED,30 / 1.0 LB,DARIGOLD,026400155188,"",&,$70.5,UNIT,2.35,PER LB,255
41086,ELGIN BUTTER,SALTED,30 / 1.0 LB,DARIGOLD,026400155171,"",&,$86.7,UNIT,2.89,PER LB,255
41094,MARGARINE PRINTS,"",30 / 1.0 LB,POCAHONTAS,10041560581681,"",A,$21.9,UNIT,0.73,PER LB,1923
3041075,ELGIN BUTTER,UNSALTED,1 / 1.0 LB,DARIGOLD,026400105183,"","",$2.38,UNIT,2.38,,255
3041086,ELGIN BUTTER,SALTED,1 / 1.0 LB,DARIGOLD,26400105176,"","",$2.34,UNIT,2.34,,255
41277,GRADE AA EGGS,LARGE,1 / 15.0 OZ,EGGS HI,859356003186,"",&,$20.19,UNIT,1.346,PER OZ,5016
41278,GRADE AA EGGS,MEDIUM,1 / 15.0 OZ,EGGS HI,853595002375,"",&,$15.97,UNIT,1.0646666666666667,PER OZ,5016
41276,GRADE A EGGS,LARGE,6 / 5.0 OZ,WEST COAST,853595002146,"",&,$40.69,UNIT,1.3563333333333332,PER OZ,5016
3041276,GRADE A EGGS,LARGE,1 / 5.0 OZ,WEST COAST,3041276,"","",$6.87,UNIT,1.374,PER OZ,5016
116723,BEEF RIBEYE,LIP-ON CHOICE,5 / 13.0 UP,PSA/EXCEL,116723,"",C,$9.04,PER UP,,,50684
3116723,BEEF RIBEYE,LIP-ON CHOICE,1 / 13.0 UP,PSA/EXCEL,3116723,"","",$9.49,PER UP,,,50684
114060,PORK BUTT,BONELESS,4 / 27.0 LB,FARMER JOH,"","",&,$2.0,PER LB,,,20572
747125,CONGRATULATIONS,CHOCOLATE,1 / 192.0 CT,SWEET SWIS,747125,"",S,$60.71,UNIT,0.3161979166666667,PER CT,8035
747141,HAPPY BIRTHDAY,OVAL CHOCOLATE,1 / 192.0 CT,SWEET SWIS,747141,"",S,$60.71,UNIT,0.3161979166666667,PER CT,8035
222027,FOOD COLOR,LEAF GREEN GEL,1 / 10.5 OZ,CHEF MASTE,23114223080,"",+,$8.73,UNIT,0.8314285714285715,PER OZ,2113
747172,FEUILLETINE CRUNCH ,CHOCOLATE,1 / 5.5 LB,BARRY,3073417100479,"",C,$41.11,UNIT,7.474545454545455,PER LB,2163
762119,LIQUA GEL,ROSE BAKING,1 / 10.5 OZ,CHEFMASTER,23114223110,"",+,$6.46,UNIT,0.6152380952380953,PER OZ,2113
762197,LIQUA GEL,BUCKEYE BROWN,1 / 10.5 OZ,CHEFMASTER,23114223035,"",+,$8.73,UNIT,0.8314285714285715,PER OZ,2113
73081,ANNATTO SEEDS,"",50 / 1.76 OZ,MAMA SITA,025407806789,"",+,$54.53,UNIT,0.6196590909090909,PER OZ,21291
3073081,ANNATTO SEEDS,"",1 / 1.76 OZ,MAMA SITA,3073081,"","",$1.33,UNIT,0.7556818181818182,PER OZ,3709
62501,CHICKEN BREADING ,MIX,3 / 8.0 LB,UPPER,62501,"",&,$35.82,UNIT,1.4925,PER LB,5389
3062501,CHICKEN BREADING ,MIX,1 / 8.0 LB,UPPER,90742,"","",$14.56,UNIT,1.82,PER LB,5389
130114,VEGETABLE OIL,AP,1 / 35.0 LB,POCAH/CHEF,41560135993,7730,A,$20.59,UNIT,0.5882857142857143,PER LB,1808
84009,PINEAPPLE CHUNKS,IN HEAVY SYRUP,6 / 10.0 CAN,DOLE,10038900004658,"",R,$41.98,UNIT,,,2651
84045,PINEAPPLE SLICES,IN JUICE,6 / 10.0 CAN,DOLE,10038900002555,"",B,$41.32,UNIT,,,2651
3084009,PINEAPPLE CHUNKS,IN HEAVY SYRUP,1 / 10.0 CAN,DOLE,38900004651,"","",$7.96,UNIT,,,2651
3084045,PINEAPPLE SLICES,IN JUICE,1 / 10.0 CAN,DOLE,38900002558,"","",$8.93,UNIT,,,2651
3313053,HONTAI WHITE PLASTIC,BOWL,1 / 50.0 CT,CP BRAND,4935168114671,"","",$14.66,UNIT,0.2932,PER CT,2673
224018,SALT,KOSHER,12 / 3.0 LB,MORTON,10024600017029,154326,B,$33.13,UNIT,0.9202777777777779,PER LB,2180
3224018,SALT,KOSHER,1 / 3.0 LB,MORTON,024600017022,"","",$3.71,UNIT,1.2366666666666666,PER LB,2180
240116,SUGAR,DARK BROWN,24 / 1.0 LB,C & H,30015800064115,"",S,$29.57,UNIT,1.2320833333333334,PER LB,2155
240143,SUGAR,GOLDEN BROWN,16 / 2.0 LB,C & H,30015800062326,"",B,$38.54,UNIT,1.204375,PER LB,2155
3240116,SUGAR,DARK BROWN,1 / 1.0 LB,C & H,015800064114,"","",$1.71,UNIT,,,2155
3240143,SUGAR,GOLDEN BROWN,1 / 2.0 LB,C & H,015800062325,"","",$1.99,UNIT,0.995,PER LB,2155
3240144,SUGAR,POWDERED,1 / 2.0 LB,C & H,015800070320,"","",$1.99,UNIT,0.995,PER LB,2155
3175275,HONEY MUSTARD DRESSING,"",1 / 1.0 GAL,HELLMAN'S,48001067035,"","",$16.62,UNIT,,,2299
111007,REGULAR SPAM,"",24 / 12.0 OZ,HORMEL,37600300742,"",B,$55.17,UNIT,0.1915625,PER OZ,26812
111008,SPAM,LESS SALT,12 / 12.0 OZ,HORMEL,37600140515,"",B,$27.52,UNIT,0.19111111111111112,PER OZ,26812
171030,ORGANIC SEASONED CROUTONS,"",1 / 2.0 LB,FRESH GOUR,787359748721,"",&,$8.96,UNIT,4.48,PER LB,2949
331003,FLEX STRAWS,"WHITE 7.75""",25 / 400.0 CT,PRIME SOUR,40727351197040,76009704,C,$72.08,UNIT,0.007208,PER CT,3801
119566,WHITE TRUFFLE OIL,"",6 / 250.0 ML,D ARTAGNAN,736622102654,"",S,$128.07,UNIT,0.08538,PER ML,8517
3119566,WHITE TRUFFLE OIL,"",1 / 250.0 ML,D ARTAGNAN,"","","",$25.59,UNIT,0.10235999999999999,PER ML,8517
331000,JUMBO STRAWS,"BLACK 7.75""",10 / 250.0 CT,CELL O COR,747083010075,68170197,S,$18.47,UNIT,0.007388,PER CT,3801
3331000,JUMBO STRAWS,"BLACK 7.75""",1 / 250.0 CT,CELL O COR,747083013243,68170197,"",$2.61,UNIT,0.01044,PER CT,3801
3331003,FLEX STRAWS,"WHITE 7.75""",1 / 400.0 CT,PRIME SOUR,727351197042,76009704,"",$4.08,UNIT,0.0102,PER CT,3801
314060,HINGED CONTAINER,SML WHT FIBER,2 / 250.0 CT,PACTIV,16194054856,16201600,&,$64.24,UNIT,0.12847999999999998,PER CT,3004
526020,SOAP,LTX ANTI-BACTERIAL,2 / 1200.0 ML,GOJO,10073852026617,35401912,S,$46.26,UNIT,0.019275,PER ML,38011
112104,RIBE EYE LIP-ON,2X2 NAT 112A,2 / 10.0 LB,PANIOLO CA,50PCC150CZ,"",*,$8.61,PER LB,,,2783
113591,APPLEWOOD SMOKED BACON,"",2 / 26.0 LB,OLD SMOKEH,037600183836,"",C,$4.44,PER LB,,,2681
3194042,WHITE SHRIMP,31-35 HLSO SA,1 / 4.0 LB,PACKER,3194042,"","",$22.96,UNIT,5.74,PER LB,2758
130275,COTTONSEED OIL,WINTERIZED,1 / 35.0 LB,VENTURA,26700545351,"",C,$48.36,UNIT,1.3817142857142857,PER LB,2144
223028,CLOVES,GROUND,1 / 1.0 LB,MCCRMK,52100324111,6/393693,S,$25.4,UNIT,,,2501
230127,PEARL BARLEY,"",24 / 1.0 LB,C&F,00001603121002,"",S,$18.28,UNIT,0.7616666666666667,PER LB,5230
3230127,PEARL BARLEY,"",1 / 1.0 LB,C&F,72769241154,"","",$0.78,UNIT,,,5230
