ITEM,Custom1,Custom2
222015,BANANA EXTRACT,
222017,FOOD COLOR,BLUE
222020,VANILLA EXTRACT,PURE
222021,FOOD COLOR,RED
222023,ALMOND EXTRACT,IMITATION
222025,FOOD COLOR,YELLOW / EGG SHADE
222027,FOOD COLOR,LEAF GREEN GEL
222028,SUPER RED GEL,FOOD COLOR
222029,ROYAL BLUE GEL,FOOD COLOR
222030,FOOD COLOR,COAL GEL
222031,FOOD COLOR,LEMON YELLOW PASTE
222059,FOOD COLOR,CARAMEL
222061,VANILLA EXTRACT,IMITATION
222062,LEMON EXTRACT,IMITATION
222810,QUINOA SPAGHETTI,ORGANIC
223002,GARLIC SALT ,
223007,RED PEPPER,CRUSHED
223010,WHITE PEPPER,GROUND
223011,RED PEPPER,CRUSHED
223016,CHILI POWDER,
223017,CINNAMON,GROUND
223027,ALLSPICE,GROUND
223029,CLOVES,GROUND
223031,BLACK PEPPER,COARSE GRIND
223034,NUTMEG,GROUND
223035,CHINESE 5 SPICE,
223038,BLACK PEPPER,TABLE GRIND
223042,CURRY POWDER,
223045,GROUND CINNAMON,SPICE
223046,CURRY POWDER SPICE,MADRAS
223047,BLACK PEPPER,RESTAURANT GRIND
223048,BLACK PEPPER,RESTAURANT GRIND
223056,POULTRY SEASONING,
223061,CORIANDER,GROUND
223062,CORIANDER GROUND ,SPICE
223065,TUMERIC,GROUND
223069,ONION POWDER,
223077,ARROWROOT,GROUND
223080,CREAM OF TARTAR,
223086,FAJITA SEASONING,
223089,GARLIC,MINCED IN OIL
223090,MEAT TENDERIZER,SPICE
223096,GARLIC SALT ,
223103,FAJITA SEASONING,
223108,CHILI SEASONING MIX,
223113,LEMON & PEPPER SEASONING,
223114,CHILI SEASONING MIX,
223120,MEAT TENDERIZER,
223123,GARLIC SALT ,W/ PARSLEY
223148,CANADIAN STEAK SEASONING,
223155,ONION SPICE,GRANULATED
223157,ONION,GRANULATED
223168,OLD BAY SEASONING,
223171,CRAB SEASONING,BOIL IN BAG
223173,BLACKENED REDFISH MAGIC,
223176,BLACKENED STEAK MAGIC,
223200,CORIANDER SEED,
223202,CORIANDER SEED,
223211,GARLIC FLAKES,DRIED
223240,BAY LEAVES,WHOLE
223241,GROUND THYME,
223244,SMOKED PAPRIKA,
223252,GROUND THYME,
223268,GARLIC,CHOPPED IN OIL
223297,LEMON PEPPER SPICE,
223321,BAY LEAVES,WHOLE
223322,CELERY SALT,
223323,OREGANO,GROUND
223324,ITALIAN SEASONING,
223326,GARLIC (ORGANIC),MINCED 
223329,BLACK PEPPER,WHOLE
224010,SALT,SEASONED
224013,SALT,SEASONED
224018,SALT,KOSHER
224020,SEA SALT,HAWAIIAN
224024,SEA SALT,ALAEA RED
224058,SALT,PLAIN
224072,SALT,PLAIN FOOD GRADE
224073,SEA SALT,FOOD GRADE
224074,WATER SOFTENER PELLETS,
224075,SALT,"KILN DRIED, NON-FOOD"
224076,SALT,POPCORN & NUT
224077,SALT,KOSHER
224079,SALT,PLAIN IN SHAKER
224080,SALT,IODIZED SHAKER
224081,SALT,TENDER QUICK CURING
224089,NATURAL SEA SALT,COARSE
224090,NATURAL SEA SALT,FINE
228005,THYME LEAVES,WHOLE
228021,BLACK PEPPER,WHOLE
228029,CLOVES,WHOLE
228033,PICKLING SPICE,
228035,FENNEL SEED,WHOLE
228042,WHITE PEPPER,WHOLE
228048,MARJORAM LEAVES,
228049,POPPY SEED,WHOLE
228050,TARRAGON LEAVES,WHOLE
228064,DILL WEED,WHOLE
228065,CINNAMON STICKS,
228066,ROSEMARY,GROUND
228069,PEPPERCORN MELANGE,
228078,CARAWAY SEED,
228080,PARSLEY FLAKES,
228081,PARSLEY FLAKES,SPICE
228082,CELERY SEED,
228086,STAR ANISE,WHOLE
228087,CILANTRO,FREEZE DRIED
229004,CARIBBEAN JERK SEASONING,
229014,ANTIOXIDANT,
229028,MONOSODIUM GLUTAMATE (MSG),
229040,MESQUITE BBQ SEASONING,
229041,MONTREAL CHICKEN SEASONING,
229083,GARLIC,ROASTED
229090,GARLIC PEPPER,CALIFORNIA STYLE
229110,SAFFRON ,PURE MANCHA TRHEADS
229119,MUSTARD SEED,
229127,CUMIN,GROUND
229128,CURRY POWDER,
229129,VANILLA,IMITATION
229130,FOOD COLOR,YELLOW EGG SHADE
229131,FOOD COLOR,RED
229132,GARLIC,GRANULATED
229133,GARLIC POWDER,PREMIUM
229135,PAPRIKA,EXTRA FANCY
229136,BLACK PEPPER,TABLE GRIND #20
229137,RED PEPPER,CRUSHED
229138,WHITE PEPPER,GROUND
229141,CAJUN SEASONING,
229142,CANADIAN STEAK SEASONING,
229143,THYME LEAVES,WHOLE
229144,GARLIC,GRANULATED
229145,CHILI POWDER,DARK
229146,OREGANO LEAVES,"MEXICAN, WHOLE"
229149,BLACK PEPPER,TABLE GRIND
229150,BLACK PEPPER,CRACKED
229151,CINNAMON,GROUND
229152,OREGANO LEAVES,
229153,PARSLEY FLAKES,
229154,SESAME SEED,WHOLE
229155,BLACK PEPPER,WHOLE
229157,NUTMEG,GROUND
229159,PAPRIKA,"SPANISH, FANCY"
229160,CUMIN,GROUND
229161,SAGE,GROUND
229162,POULTRY SEASONING,
229163,CAYENNE PEPPER,GROUND
229164,TARRAGON LEAVES,
229165,ROSEMARY LEAVES,
229170,GINGER,GROUND
229172,VANILLA EXTRACT,IMITATION
229187,SAGE,GROUND
229188,PAPRIKA,SPICE
229189,JAMAICAN JERK SEASONING,
230030,FORTUNE COOKIES,
230109,GARBANZO DRIED BEANS,
230110,GREEN LENTIL BEANS,
230113,PINTO BEANS,TRIPLE CLEANED
230114,SMALL WHITE BEANS,
230121,GREEN SPLIT PEAS,
230127,PEARL BARLEY,
230128,BARLEY,PRESSED
230129,BARLEY,ROASTED
230130,CORN,"ROASTED,DRIED"
230131,BLACK BEAN,"GREEN, DRIED"
230132,BLACK BEAN,"YELLOW, DRIED"
230133,RED BEAN,DRIED
230134,RED BEAN,DRIED
230135,BARLEY,WHOLE
230136,MUNG BEAN,PEELED
230137,SOY BEAN,
230138,BLACK BEAN,GREEN
230156,PINTO BEANS,TRIPLE CLEANED
230169,BLACK BEANS,PREWASHED
231001,CHOW FUN NOODLES,
231002,SOMEN NOODLES,
231013,SAIMIN NOODLES,
231014,UDON NOODLES,
231015,SOMEN NOODLES,
231016,RAMEN NOODLES,
231034,BEAN THREAD NOODLES,
231036,VERMICELLI NOODLES,
231038,JASMINE RICE,
231039,BEAN THREAD NOODLES,
231040,WAKANA SOBA NOODLES,
231043,YAKISOBA NOODLES,
231044,CHOWMEIN NOODLES,
231045,BIHON NOODLES,RICE STICKS
231046,EA ONLY,
231047,BIHON GOLDEN,NOODLES
231048,YAMAIMO SOBA NDLS,BUCKWHEAT W/YAM
231050,HARIMA NO TAKUMI,SOMEN NOODLES
231051,MALONY HARUSAME NOODLE,
231052,VERMICELLI RICE,
231053,SOBA NOODLES,BUCKWHEAT
231055,SOMEN NOODLES,
231056,POTATO NOODLES,
231057,LONG GRAIN RICE,
231058,GOLDEN BIHON NOODLES,
231503,RICE PAPER WRAPPER,"8.5"" 22 CM ROUND"
231505,RICE PAPER WRAPPER,
232538,RAINBOW ROTINI PASTA,
232542,SMALL ELBOW,MACARONI PASTA
232543,BOWTIE PASTA,
232544,ROTELLI PASTA,
232545,LINGUINE PASTA,"20"""
232546,EGG NOODLE PASTA,"WIDE 1/4"""
232549,RAINBOW ROTELLI PASTA,
232550,RIGATONI PASTA,
232551,MOSTACCIOLI ,PENE PASTA
232552,ANGEL HAIR PASTA,
232553,SPINACH FETTUCCINE PASTA,
232555,FETTUCCINE PASTA,"20"""
232556,LASAGNA PASTA,"20""L X 2.5""W"
232567,MOSTACCIOLI PENNE,PASTA
232585,GNOCCHI PASTA,
232690,SPAGHETTI PASTA,"10"""
232691,ELBOW MACARONI PASTA,
232727,RIGATONI PASTA,
232738,SPAGHETTI PASTA,
232741,ORZO PASTA,
232742,FETTUCCINE PASTA,
232743,LINGUINE PASTA,
232745,FETTUCCINE PASTA,
232748,PENNE RIGATE PASTA,
232750,FETTUCCINE PASTA,
232751,LINGUINE PASTA,"10"""
232752,SPAGHETTI PASTA,#11
232756,SPAGHETTINI PASTA,
232757,PENNE RIGATE PASTA,
232761,PENNE RIGATE PASTA,
232762,LINGUINE PASTA,FINE
232764,SPAGHETTI PASTA,THICK
232769,PENNE RIGATE PASTA,
232794,PENNINI RIGATI PASTA,
232809,TAGLIATELLE PASTA,NESTED
232810,SPAGHETTI PASTA,THIN
232811,FETTUCINI PASTA,
232813,LINGUINI PASTA,
234007,POTATO GRANULES,W/ VITAMIN C
234024,MASHED POTATO,COMPLETE INSTANT
234054,REAL MASHED POTATO,DRY
234057,MASHED POTATO,ROASTED GARLIC
234060,MASHED POTATO,REAL
234062,MASHED POTATO,
234064,HASHBROWN POTATO,
234521,HASHBROWN CUBES,"1/2"""
234536,ONION RINGS,"3/8"" BEER BATTER"
234561,BEER BTRD FRIES,SIDEWINDERS
234563,FRIES,JULIENNE MEGACRUNCH
234579,LATTICE CUT FRIES,
234589,SHOESTRING FRIES,"1/4"" TASTEE SPUD"
234590,REGULAR CUT FRIES,"3/8"" TASTEE SPUD"
234591,CRINKLE CUT FRIES,"1/2"" X 1/2"""
234592,CRINKLE CUT FRIES,"3/8"" "
234596,HASHBROWN POTATO,OVAL SHAPE
234598,CRINKLE CUT FRIES,"3/8"" X 3/8"""
234600,SHOESTRING FRIES,"1/4"" PXLF"
234604,SHOESTRING FRIES,"1/4"" XLF"
234606,HASHBROWN POTATO,IQF SHREDDED
234607,STEAK FRIES ,"3/8"" X 3/4"" SKINLESS XLF"
234611,REGULAR FRIES,"3/8"" SAVORY XLF"
234618,TATER POTATO,ZT
234619,REGULAR CUT FRIES,"3/8"" SEASONED XL"
234621,TRI CUT POTATO,SKIN ON MEDALLION
234622,LOOP FRIES,"1/3"" SAVORY"
234625,SWT POTATO PLATTER,"1/4"" X 1/2"""
234628,REGULAR CUT FRIES,"3/8"" XLF"
234632,POTATO WEDGE,"8 CUT, SKIN ON"
234636,POTATO FRIES,8 CUT WEDGE
234637,STEAK FRIES ,"3/8"" X 3/4"" SKIN ON SC XLF"
234638,STRAIGHT CUT FRIES,SEASHORE
234639,STRAIGHT FRIES,"1/4""X5/16"" SKIN ON"
234651,HASHBROWN POTATO,IQF 
234653,SKIN ON POTATO,
234660,BABY BAKERS ,ZT
234662,SWEET POTATO ,ROASTED SWEETLINGS
234665,STRAIGHT FRIES,"3/8"" X 3/8"" SKIN ON ZT"
234682,SHOESTRING FRIES,"1/4"" XLF"
234683,REDSKIN POTATO,TRI CUT
234694,SWEET POTATO FRIES,THIN CUT
234700,STUFFED JALAPENOS,CHEDDAR
234702,ONION RINGS,"3/4"" BREADED"
234709,ONION RINGS,"5/8"" BEER BATTER"
234710,ONION RINGS,"3/16"" BREADED"
234711,ONION RINGS,"3/8"" BREADED"
234752,RAW POTATO CHIPS,
235009,BROWN RICE,CALROSE US #1
235010,WHITE RICE,CALROSE US #1
235012,WHITE RICE,CALROSE 15%
235013,SHORT GRAIN RICE,US #1
235015,MEDIUM GRAIN,PREMIUM
235016,LONG GRAIN RICE,
235019,JASMINE RICE,
235020,RICE,BAMBOO INFUSED
235021,WILD RICE,SWEET
235022,RICE,SWEET
235023,BROWN RICE,SWEET
235024,MIXED GRAIN RICE,
235028,LONG GRAIN RICE,
235030,FORBIDDEN RICE,
235040,JASMINE RICE,
235072,PARBOILED RICE,LARGE GRAIN
235081,PARBOILED RICE,
235099,RICE FLOUR,
235104,BROWN RICE,GEN-JI-MAI CALROSE
236010,BROWN RICE,CALROSE US#1
236502,AZTEC RICE,BLEND
236508,WILD RICE,LONG GRAIN
236510,WILD RICE,FANCY GRADE A
236517,CURRY WHITE JASMINE RICE,
236542,COUSCOUS,MEDIUM GRAIN
236546,COUSCOUS ,TRADITIONAL
236563,ARBORIO RICE,(FOR RISOTTO)
236569,PILAF RICE,
236571,POLENTA CORN MEAL,MED-ITALY
236572,POLENTA CORN MEAL,MED-ITALY
239015,GRITS,
239031,STUFFING MIX,CHICKEN
239035,HERB STUFFING,SEASONED MIX
240010,COCONUT MIX,INSTANT POWDER
240011,GREEN TEA MIX,INSTANT POWDER
240012,THAI TEA MIX,INSTANT POWDER
240013,MILK TEA MIX,INSTANT POWDER
240108,SUGAR,POWDERED
240109,SUGAR,GRANULATED
240110,SUGAR,BAKERS SPECIAL
240113,SUGAR,SUPERFINE
240114,SUGAR,GOLDEN BROWN
240116,SUGAR,DARK BROWN
240118,SUGAR,POWDERED
240119,SUGAR,GOLDEN C
240120,SUGAR,GRANULATED WHITE
240121,SUGAR,GRANULATED
240122,SUGAR,GRANULATED WHITE
240128,SUGAR,GRANULATED
240132,SPLENDA,GRANULATED
240135,SUGAR,GOLDEN BROWN
240137,SUGAR,CONFECTIONERS POWDER
240143,SUGAR,GOLDEN BROWN
240144,SUGAR,POWDERED
242501,EQUAL,SUGAR SUB
242504,FRUCTOSE SYRUP,
250100,SALTED RUM CARAMEL,
250102,VANILLA BOURBON CARAMEL,
250103,KONA COFFEE CARAMEL,
250109,CHOCOLATE SYRUP,
250112,CHOCOLATE SYRUP,JUG
250114,WHITE CHOCOLATE CHIPS,
250115,CHOCOLATE CHIPS,SEMI-SWEET
250155,CHOCOLATE SPRINKLES,
250156,RAINBOW SPRINKLES,
250171,CHOCOLATE SAUCE,BLACK LABEL BOTTLE
250177,MALLO CRÔME,TOPPING
250178,PINEAPPLE TOPPING,CRUSHED
250179,STRAWBERRY TOPPING,SLICED
250180,BUTTERSCOTCH TOPPING,
250181,HOT FUDGE TOPPING,
250183,CARAMEL TOPPING,
250184,CHOCOLATE SAUCE,CONE DIP
250185,CARAMEL TOPPING,
250187,CARAMEL DESSERT SAUCE,
250195,STRAWBERRY DESSERT SAUCE,
250215,CHOCOLATE DESSERT SAUCE,
252001,LIGHT CORN SYRUP,
252002,LIGHT CORN SYRUP,
252015,PANCAKE & WAFFLE SYRUP,
252018,IMITATION MAPLE SYRUP,
252019,SIMPLE SYRUP,
252027,PURE MAPLE,SYRUP
252040,MALT SYRUP,WHITE
252051,GUAVA SYRUP,EGGS N THINGS
252053,COCONUT SYRUP,
252055,COCONUT SYRUP,
252056,GUAVA SYRUP,
252057,LILIKOI SYRUP,
252064,BREAKFAST SYRUP,SUGAR FREE
252065,SYRUP S/F,REDUCED CALORIE
252075,GUAVA SYRUP,
254011,MOLASSES,LIGHT/MILD
256140,SPICED CHAI TEA POWDER,
256141,COCO POWDER,MEXICAN SPICED
256142,FROSTED LATTE POWDER,
256143,MOCHA FRAPPE POWDER,
256144,VANILLA EXPRESS POWDER,
256145,SMOOTHIE MIX,MANGO
256146,SMOOTHIE MIX,STRAWBERRY
256147,SMOOTHIE MIX,STRAW/BANANA
256148,CARAMEL SAUCE MIX,
256149,DARK CHOCOLATE SAUCE MIX,
256150,WHITE CHOCOLATE SAUCE MIX,
256152,CHOCOLATE MAC NUT SYRUP,
256153,CLASSIC CARAMEL SYRUP,
256154,CLASSIC HAZELNUT SYRUP,
256155,SALTED CARAMEL SYRUP,
256156,COCONUT SYRUP,
256157,FRENCH VANILLA SYRUP,
256158,MANGO SYRUP,
256160,PASSION FRUIT SYRUP,
256161,PINEAPPLE SYRUP,
256162,RASPBERRY SYRUP,
256163,VANILLA SYRUP,SUGAR FREE
256164,STRAWBERRY SYRUP,
256165,VANILLA SYRUP,
256166,COCONUT SYRUP,SUGAR FREE
259159,MACADAMIA NUT SYRUP,
260101,KETCHUP,VOL PAK
260103,KETCHUP,
260105,KETCHUP,
260107,KETCHUP,
260112,KETCHUP,JUG
260119,KETCHUP,GLASS FOODSERVICE
260120,KETCHUP,CLEAR BOTTLE
260132,KETCHUP,DISP PACK
260156,KETCHUP,UPSIDE DOWN
260157,KETCHUP,RED UPSIDE DOWN
260158,KETCHUP,UPSIDE DOWN
261503,TOMATO PASTE,
262504,TOMATO PUREE,
263004,TOMATO SAUCE,
264005,CRUSHED TOMATO,
264009,TOMATO DICED IN JUICE,
264010,WHOLE TOMATO,PEELED
264018,PIZZA SAUCE,SEASONED
264052,TOMATO,DICED IN JUICE
264056,DICED TOMATOES,FIRE ROASTED
264074,WHOLE TOMATO,PEELED WITH BASIL
264077,SUNDRIED JULIENNE TOMATO,
264078,SUNDRIED TOMATO,HALVES
264086,GREEN TOMATILLOS,CRUSHED
264097,"ITALIAN PEELED TOMATOES, GROUND",
270104,BAKED BEANS,
270106,PORK & BEANS,
270107,KIDNEY BEANS,DARK RED
270123,REFRIED BEANS,WITH LARD
270130,GARBANZO BEANS,
270131,WHOLE BLACK BEANS,
270198,REFRIED BEANS,VEGETARIAN
270203,THREE BEAN SALAD,
270215,CANNELLINI BEANS ,LARGE
270218,POTATO WHL VEG,60/80 FANCY
270219,PINTO BEANS,
270221,PINTO BEANS,VEG
270228,COLLARD GREENS ,CHOPPED
270231,RED BEANS,SWEET
270232,YAMS,CUT IN SYRUP
271501,PUMPKIN,SOLID PACK
271510,SLICED CARROTS,FANCY
271511,CREAM STYLE CORN,
271528,SLICED BEETS,MEDIUM SMOOTH
271529,MIXED VEGETABLES,ORIENTAL BLEND
271533,MIXED VEGETABLES,ITALIAN BLEND
271552,ARTICHOKE HEARTS,
271614,WATERCHESTNUTS,SLICED
271618,CUT GREEN BEANS,4 SIEVE
271664,GARBANZO BEANS,
271670,CARROTS,SLICED
271671,BABY CARROTS,WHOLE
271703,SAURKRAUT,SHREDDED
271707,SAUERKRAUT,
271711,SWEET CORN ,WHOLE KERNEL 
271720,WHOLE KERNEL CORN,POUCH
271734,BLACKEYED PEAS,DRY SOAKED
271737,HEARTS OF PALM,
271738,SPINACH LEAF,
273526,GREEN PEAS,
273527,GUACAMOLE,WESTERN STYLE
273529,SPINACH LEAF,
273532,PEAS & CARROTS,
273533,MIXED VEGETABLES,5 WAY
273567,CORN COBBETTES,"3"""
273571,CORN COBBETTES,"3"""
273579,GREEN BEANS,CUT
273582,MIXED VEGETABLES,MONACO BLEND
273583,MIXED VEGETABLES,CATALINA BLEND
273589,MIXED VEGETABLES,WAFU YASAI
273591,EDAMAME,MIDORI BLEND
273596,EDAMAME,IN PODS
273599,EDAMAME,SHELLED
273613,SPINACH,CHOPPED
273616,GREEN BEANS,FRENCH CUT
273624,SPINACH LEAF,
273632,OKRA,CUT IQF
273640,GREEN BEANS,WHOLE
273666,CORN & PEPPERS,FLAME ROASTED
273671,BABY LIMA BEANS,
273676,MIXED VEGETABLES,SONOMA BLEND
273717,BROCCOLI FLORETS,DOMESTIC
273727,ESPECIAL GUACAMOLE,AVO CHUNK W/SPICE
273733,FLAME ROASTD,PEPPER STRIPS
273738,ONION RINGS,"1/2"" BREADED"
273741,BROCCOLI FLORETS,
273748,CUT CORN,SIMPLY SWEET
273752,BREADED OKRA,SOUTHEHRN STYLE
273789,ZUCCHINI STICKS,BATTERED
273790,STUFFED JALAPENOS,CREAM CHEESE
273791,CORN & BLACK BEAN,VEGETABLE
273801,MUSHROOMS,BEER BATTER
273802,ORZO GRAIN & VEG,BLEND
273803,ORZO 9 GRAIN & ,KALE BLEND
290101,CRESCENT CROISSANT,
290102,CRESCENT CROISSANT,
290104,BA-LE BAGUETTE,"6"""
290105,FRENCH BAGUETTE,
290106,PARISIAN BAGUETTE,
290107,JAPANESE PULLMAN,WHITE SLICED
290108,JAPANESE PULLMAN,WHEAT SLICED
290109,PUMPERNICKEL BREAD,DELI SLICED
290110,SOURDOUGH BREAD,DELI SLICED
290111,MULTIGRAIN BREAD,SLICED
290112,CIABATTA BREAD,"2""X2"" SQUARE"
290113,CIABATTA BREAD,"4"""
290114,CIABATTA BREAD,"6"""
290115,MULTIGRAIN CIABATTA,"2"" X 2"""
290116,MULTIGRAIN CIABATTA,
290117,SWEET ROLL,1.5 OZ
290118,SOFT WHITE ROLL,1.5 OZ
290119,TARO ROLL,1.5 OZ
290120,WHOLE WHEAT ROLL,
290121,CHALLAH BUN,"4"""
290122,KAISER BUN,"5"""
290123,ONION BUN,"4"""
290124,WHOLE WHEAT BUN,"4"""
290125,TARO BUN,"4"""
290126,SESAME BUN,"4"""
290127,HOT DOG BUN,6PK
290128,SESAME LAVOSH,4X4
290129,POLENTA LAVOSH,4X4
290130,MANGO LAVOSH,4X4
290131,TARO LAVOSH,4X4
290158,"6"" HOAGIE BREAD",PULL APART
290202,GUAVA BREAD,1/2 LOAF
291012,HAMBURGER BUN,PREMIER
291013,HOT DOG BUN,PREMIER
291015,JIM HOAGIE,"9"" SLICED"
291031,HOT DOG BUN,"6"""
291033,MINI BOULE BREAD,
291035,JEWISH RYE BREAD,
291065,HAMBURGER BUN,PREMIER GOURMET
291066,WATANABE WHITE BREAD,
291067,WATANABE WHEAT BREAD,
291080,CHOCOLATE MOUSSE CAKE,
291081,GUAVA CAKE ,HALF SHEET
291082,COCONUT CAKE,HALF SHEET
291083,MANGO CAKE,HALF SHEET
291084,MINI MUFFIN,BANANA
291085,MINI MUFFIN,ZUCCHINI
291086,BABY MUFFIN,BLUEBERRY
291087,BABY MUFFIN ,CHOCOLATE CHIP
291088,SCONE DOUGH,BLUEBERRY
291089,COOKIE DOUGH,CHOCOLATE CHIP
291090,COOKIE DOUGH,GUAVA SHORTBREAD
291091,COOKIE DOUGH,PINEAPPLE
291092,COOKIE DOUGH,OATMEAL RAISIN
291093,COOKIE DOUGH,CHOCOLATE CHIP
291094,COOKIE DOUGH,SUGAR
291095,COOKIE DOUGH,OATMEAL RAISIN
291096,OATCAKE DOUGH,BLUEBERRY
291097,GRANOLA CHIPS,
291101,SUB BUN,
291102,SLIDER BUN,
291400,CELERY,"3/8"" DICED"
291401,CELERY,"1/8"" SLICED"
291402,CELERY,"1"" STEW CUT"
291501,WATERCRESS,H-1
291502,CHI DAIKON,
291503,JAPAN TURNIP,H-1
291505,EGGPLANT,H-1 LONG
291506,EGGPLANT,H-1 LONG
291507,EGGPLANT,LONG
291508,CHOY SUM,H-1 LONG
291509,CHISO LEAF,
291511,SHAGHAI PAK CHOY,H-1
291512,PAK CHOY CABBAGE ,H-1
291513,CHINESE CABBAGE,H-1
291514,CHINESE CABBAGE,H-1
291515,KAI CHOY CABBAGE,H-1
291516,CHINESE CABBAGE,
291517,JAPANESE CUCUMBER,H-1
291518,TAEGU,SHREDDED
291519,SEAWEED SALAD,
291520,WONBOK KIMCHEE,
291521,PICKLED ONION,
291522,CUCUMBER KIMCHEE,
291523,WONBOK KIMCHEE,
291524,LUAU LEAF,
291525,LUAU LEAF,
291526,TI LEAVES,
291527,JAPAN CUCUMBER,
291528,TAEGU,SHREDDED
291700,LETTUCE HEAD,SHRED
291701,GREEN KALE,H-1
291702,BUTTER LETTUCE,
291703,BABY SPINACH,ORGANIC
291704,GREEN LEAF LETTUCE,
291705,LETTUCE HEAD,SHREDDED
291706,KUNIA TRIO LETTUCE,
291707,RED LEAF LETTUCE,
291708,RED RADICCHIO,
291709,CHARD GREEN,
291710,COLLARD GREEN,
291711,LACINATO KALE,H-1
291713,GREEN LEAF LETTUCE,
291714,LETTUCE HEAD,
291715,RED LEAF LETTUCE,
291716,ROMAINE LETTUCE,
291717,GREEN KALE,LOCAL
291802,GREEN ONION,
291803,GREEN ONION,
291805,RED ONION,JUMBO
291806,SWEET ONION,
291807,ROUND ONION,JUMBO
291808,ONION,"1"" STEW CUT"
291809,ONION,"1/4"" SLICED"
291810,ONION,"3/8"" DICED"
291811,ONION,TOKYO NEGI
291812,RED ONION,
291813,ROUND ONION,
291814,WHITE ONION,
291815,WHITE ONION,
291816,LEEK,
291817,GREEN ONION,"1/8"" CUT"
291818,GREEN ONION,"1"" CUT"
291819,ONION,"3/8"" DICED"
291820,ONION,"1/4"" SLICED"
291821,ONION,"1"" STEW CUT"
291822,GREEN ONION,
291900,EGGPLANT,ROUND
292002,GREEN JALAPENO PEPPER,
292005,YELLOW BELL PEPPER,
292009,RED BELL PEPPER,
292010,YELLOW BELL PEPPER,
292011,GREEN PEPPER,
292012,GREEN PEPPER,SLICED
292013,GREEN PEPPER,DICED
292016,BANANA,
292017,APPLE BANANA,
292018,BANANA,RIPE
292019,GREEN BELL PEPPER,H-1
292020,SWEET PEPPER,
292021,ANAHEIM PEPPER,
292022,PASILLA/POBLANO PEPPER,
292023,RED CHILI PEPPER,
292024,SERRANO PEPPER,
292025,THAI RED PEPPER,
292026,GREEN PEPPER,"3/8"" DICED"
292027,GREEN PEPPER,"1/4"" SLICED"
292028,GREEN PEPPER,"1"" X 1"""
292101,KABOCHA PUMPKIN,
292102,OKINAWAN POTATO,H-1
292103,YUKON GOLD POTATO,
292104,SWEET YAMA POTATO,
292105,RED A'S POTATO,
292106,POTATO,
292108,50'S POTATO,
292110,80'S POTATO,
292111,KLONDIKE POTATO,MEDLEY
292112,KLONDIKE POTATO,RED/WHT
292113,KLONDIKE POTATO,YELLOW
292114,SWEET YAMA POTATO,
292115,SWEET OKINAWAN ,POTATO H-1
292201,ROMA TOMATO,
292202,KAWAMATA TOMATO,
292203,HEIRLOOM BABY TOMATO,
292205,GRAPE TOMATOES,H-1
292208,VINERIPE TOMATO,
292209,FRESH TOMATO,H-1
292210,FRESH TOMATO,H-1
292211,CHERRY TOMATO,
292212,FRESH TOMATILLO,
292213,ROMA TOMATO,H-1
292215,GRAPE TOMATO,
292216,FRESH TOMATO,
292217,CHERRY TOMATO,
292219,HEIRLOOM TOMATO,
292300,ZUCCHINI,H-1
292302,ZUCCHINI,H-1
292303,ZUCCHINI,
292305,LEEK,
292306,CROOKNECK YELLOW SQUASH,
292307,GINGER,H-1
292308,ROUND EGGPLANT,
292309,CUCUMBER KIMCHEE,H-1
292310,ENGLISH CUCUMBER,H-1
292311,ENGLISH CUCUMBER,LOCAL
292314,CELERY,
292316,CAULIFLOWER,
292318,CABBAGE,H-1
292319,SUGAR SNAP PEAS,
292322,CHINESE PEAS,
292323,HEAD CABBAGE,H-1
292324,HEAD CABBAGE,H-1
292325,BROCCOLI CROWN,
292326,BROCCOLI CROWN,
292328,BEETS,
292329,STRING BEANS,H-1
292330,STRING BEANS,IMP
292332,ASPARAGUS,STANDARD
292333,ASPARAGUS,LARGE
292334,"LETTUCE, HEAD",
292335,"LETTUCE, HEAD",
292338,ARTICHOKES,
292341,CARROTS,JUMBO
292343,CUCUMBER,H-1
292344,"LETTUCE, HEAD",CELLO
292347,GINGER,
292348,GARLIC,JUMBO
292349,BUTTERNUT SQUASH,DICED
292350,BROCCOLI BUDS,
292351,CAULIFLOWER BUDS,
292352,CARROTS,"3/8"" DICED"
292353,CARROTS,"1/8"" SLICED"
292354,CARROTS,"1"" STEW CUT"
292355,CELERY,"3/8"" DICED"
292356,CELERY,"1/8"" SLICED"
292357,CELERY,"1"" STEW CUT"
292358,LETTUCE,"3/16"" SHRED"
292359,GREEN CABBAGE,"1/8"" SHRED"
292360,ROMAINE LETTUCE,1X1 CHOPPED
292361,BEAN SPROUTS,
292362,SOY SPROUTS,
292363,CLOVER SPROUTS,
292364,RADISH SPROUTS,
292365,BEAN SPROUTS,
292366,ASIAN GREENS,LETTUCE MIX
292367,GREENS LETTUCE MIX,
292368,SPICY GREENS LETTUCE MIX,
292369,BABY ARUGULA,
292370,BABY KALE,
292371,BABY MIZUNA,
292372,BABY TAT SOI,CUT
292373,SNOW PEA SHOOTS,
292374,BABY CHIOGGIA,
292375,BABY RED BEETS,
292376,MEDIUM MUSHROOM,
292377,MUSHROOM,
292378,CARROTS,JUICING
292379,CARROTS,MINI
292380,CARROTS,MATCHSTICK CUT
292381,CELERY ,SLEEVED
292382,CORN,BI-COLOR
292383,CORN,BI-COLOR
292384,JAPAN CUCUMBER,
292385,ASPARAGUS,LARGE
