,slot,ORIGINAL DESCRIP,DESCRIP LINE 1,Description line 2,CHARACTERS,,UNIT OF MEASURE,WEIGHT CORRECTION,CONVERSION,OMIT,DESCRIP 1,DESCRIP 2,,,,,,
21036,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21037,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21038,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21039,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21040,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21041,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21043,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21051,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21053,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21065,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21067,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21070,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21071,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21081,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21083,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21087,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21090,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21092,#N/A,#N/A,HAWAIIAN COFFEE,REGULAR ROAST,15,#N/A,OZ,,1.00,,,,,,,,,
21093,#N/A,#N/A,KONA COFFEE ,REGULAR,12,#N/A,OZ,,1.00,,,,,,,,,
21095,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21096,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21097,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21098,#N/A,#N/A,"COFFEE, HAWAIIAN PARADISE",DECAF,25,#N/A,OZ,,1.00,,,,,,,,,
21099,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21105,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21110,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21112,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21114,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21115,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21119,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21121,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21125,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21127,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21128,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21132,#N/A,#N/A,"COFFEE, HAWAIIAN PARADISE",,25,#N/A,OZ,,1.00,,,,,,,,,
21133,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21142,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21143,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21145,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21148,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21149,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21150,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21151,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21152,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21153,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21154,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21155,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21156,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21157,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21158,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21159,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21183,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21184,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21185,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21186,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21187,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21188,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21189,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21190,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21192,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21193,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21194,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21195,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21196,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21197,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21198,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21199,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21200,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21201,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21202,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21203,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21204,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21205,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21206,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21207,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21208,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21209,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21210,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21211,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21212,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21213,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21214,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21215,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21216,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21217,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21218,#N/A,#N/A,"COFFEE, WAIALUA",DECAF,15,#N/A,OZ,,1.00,,,,,,,,,
21219,#N/A,#N/A,"COFFEE, WAIALUA",WHOLEBEAN,15,#N/A,LB,,1.00,,,,,,,,,
21220,#N/A,#N/A,"COFFEE, EL SALVADOR MEDIUM","MEDIUM, WHOLEBEAN",26,#N/A,LB,,1.00,,,,,,,,,
21221,#N/A,#N/A,"COFFEE, EL SALVADOR ","MEDIUM, GROUND",20,#N/A,LB,,1.00,,,,,,,,,
21222,#N/A,#N/A,"COFFEE, BRAZIL","DARK, WHOLEBEAN",14,#N/A,LB,,1.00,,,,,,,,,
21223,#N/A,#N/A,"COFFEE, BRAZIL","DARK, GROUND",14,#N/A,LB,,1.00,,,,,,,,,
21224,#N/A,#N/A,"COFFEE, MEXICO","DECAF, WHOLEBEAN",14,#N/A,LB,,1.00,,,,,,,,,
21225,#N/A,#N/A,"COFFEE, MEXICO",DECAF GROUND,14,#N/A,LB,,1.00,,,,,,,,,
21226,#N/A,#N/A,"COFFEE, CONA ROAST",,18,#N/A,LB,,1.00,,,,,,,,,
21227,#N/A,#N/A,"COFFEE, KONA ROAST",DECAF,18,#N/A,LB,,1.00,,,,,,,,,
21228,#N/A,#N/A,"COFFEE, WAIALUA ROAST",,21,#N/A,LB,,1.00,,,,,,,,,
21229,#N/A,#N/A,"COFFEE, WAIALUA ROAST",DECAF,21,#N/A,LB,,1.00,,,,,,,,,
21230,#N/A,#N/A,"COFFEE, HAWAIIAN PARADISE",,25,#N/A,LB,,1.00,,,,,,,,,
21231,#N/A,#N/A,"COFFEE, HAWAIIAN PARADISE",DECAF,25,#N/A,LB,,1.00,,,,,,,,,
21232,#N/A,#N/A,"COFFEE, WAIALUA ROAST",,21,#N/A,LB,,1.00,,,,,,,,,
21233,#N/A,#N/A,"COFFEE, HAWAIIAN PARADISE",,25,#N/A,LB,,1.00,,,,,,,,,
21234,#N/A,#N/A,"COFFEE, KONA ROASAT",,19,#N/A,LB,,1.00,,,,,,,,,
21235,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21997,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
21998,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22000,#N/A,#N/A,GATORADE ,FRUIT PUNCH,9,#N/A,OZ,,1,,,,,,,,,
22001,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22004,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22005,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22006,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22007,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22008,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22009,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22012,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22016,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22017,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22018,#N/A,#N/A,FRUIT PUNCH,100%,11,#N/A,OZ,,1.00,,,,,,,,,
22019,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22021,#N/A,#N/A,V8 FUSION,POMEGRANATE BLUEBERRY,9,#N/A,OZ,,1,,,,,,,,,
22022,#N/A,#N/A,V8 FUSION,STRAWBERRY BANANA,9,#N/A,OZ,,1,,,,,,,,,
22025,#N/A,#N/A,APPLE JUICE,,11,#N/A,OZ,,1.00,,,,,,,,,
22026,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22027,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22028,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22029,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22030,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22031,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22032,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22033,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22034,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22035,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22036,#N/A,#N/A,APPLE JUICE,,11,#N/A,OZ,,1,,,,,,,,,
22037,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22038,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22039,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22047,#N/A,#N/A,SPARKLING APPLE CIDER,,21,#N/A,OZ,,1,,,,,,,,,
22056,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22057,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22061,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22063,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22064,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22065,#N/A,#N/A,APPLE JUICE,,11,#N/A,OZ,,1.00,,,,,,,,,
22066,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22067,#N/A,#N/A,ORANGE JUICE,,12,#N/A,OZ,,1.00,,,,,,,,,
22068,#N/A,#N/A,TOMATO JUICE,,12,#N/A,OZ,,1.00,,,,,,,,,
22069,#N/A,#N/A,CRANBERRY COCKTAIL,,18,#N/A,OZ,,1.00,,,,,,,,,
22070,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22071,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22074,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22076,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22077,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22078,#N/A,#N/A,APPLE JUICE,UNSWEET,11,#N/A,OZ,,1,,,,,,,,,
22079,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22080,#N/A,#N/A,ORANGE JUICE,UNSWEET,12,#N/A,OZ,,1.00,,,,,,,,,
22081,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22082,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22089,#N/A,#N/A,GRAPEFRUIT JUICE,UNSWEET,16,#N/A,OZ,,1.00,,,,,,,,,
22090,#N/A,#N/A,APPLE JUICE,UNSWEET,11,#N/A,OZ,,1.00,,,,,,,,,
22091,#N/A,#N/A,TOMATO JUICE,100% NATURAL,12,#N/A,OZ,,1.00,,,,,,,,,
22092,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22094,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22095,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22097,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22098,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22099,#N/A,#N/A,,,0,#N/A,#N/A,,,,,,,,,,,
22100,#N/A,#N/A,MANGO ORANGE DRINK,,18,#N/A,OZ,,1,,,,,,,,,
22101,#N/A,#N/A,GUAVA NECTAR,,12,#N/A,OZ,,1.00,,,,,,,,,
