201069,"TOASTS, PARIS"
292498,"ARTICHOKES, 24'S (CASE)"
295390,"PINEAPPLE, DOLE GOLD 6'S"
744145,SATIN DEVILS CAKE LAYER
744146,SATIN CHOCOLATE CREAM CAKE
744148,SWIRL AND FROST CHOCOLATE
