201069,"TOASTS, PARIS",,"TOASTS, PARIS",
292498,"ARTICHOKES, 24'S (CASE)",,ARTICHOKES,24'S
295390,"PINEAPPLE, DOLE GOLD 6'S",,DOLE GOLD PINEAPPLES,
234612,"FRIES, SHOESTRING 1/4"" SKIN ON",,SHOESTRING FRIES,"1/4"" SKIN ON "
3059053,"DOUGH, PUFF PASTRY SHEET 10 X 15",,PUFF PASTRY DOUGH,"10"" X 15"" SHEET"
79043,"BASE, KIM CHEE",,KIM CHEE BASE,
744145,SATIN DEVILS CAKE LAYER,,SATIN DEVILS CAKE LAYER,
744146,SATIN CHOCOLATE CREAM CAKE,,SATIN CHOCOLATE CREAM CAKE,
744148,SWIRL AND FROST CHOCOLATE,,SWIRL AND FROST CHOCOLATE,
